scheme_code,isin_growth,isin_div,scheme_name,nav,nav_date
150376,INF754K01OP1,-,Edelweiss Focused Fund - Direct Plan - Growth,17.497,2026-07-14
150383,INF754K01OQ9,INF754K01OR7,Edelweiss Focused Fund - Direct Plan - IDCW,16.002,2026-07-14
150382,INF754K01OL0,-,Edelweiss Focused Fund - Regular Plan - Growth,16.412,2026-07-14
150384,INF754K01OM8,INF754K01ON6,Edelweiss Focused Fund - Regular Plan - IDCW,14.918,2026-07-14
119436,INF209K01VH8,-,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,1044.14,2026-07-14
100033,INF209K01165,-,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,931.54,2026-07-14
119433,INF209K01VG0,INF209K01VI6,Aditya Birla Sun Life Large & Mid Cap Fund -Direct - IDCW,210.13,2026-07-14
100034,INF209K01157,INF209K01CE5,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,135.67,2026-07-14
140175,INF843K01AL0,-,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,106.832,2026-07-14
140172,INF843K01047,-,Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option,89.568,2026-07-14
140174,INF843K01AM8,INF843K01AN6,Edelweiss Large and Mid Cap Fund - Direct Plan - IDCW Option,41.438,2026-07-14
140173,INF843K01054,INF843K01062,Edelweiss Large and Mid Cap Fund - Regular Plan - IDCW Option,34.16,2026-07-14
119528,INF209K01YY7,-,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,572.3,2026-07-14
119527,INF209K01YX9,INF209K01YW1,Aditya Birla Sun Life Large Cap Fund-DIRECT - IDCW,92.05,2026-07-14
103174,INF209K01BR9,-,Aditya Birla Sun Life Large Cap Fund-Growth,514.52,2026-07-14
103173,INF209K01BO6,INF209K01EC5,Aditya Birla Sun Life Large Cap Fund-Regular - IDCW,38.3,2026-07-14
118616,INF754K01BT0,INF754K01BU8,Edelweiss Large Cap Fund - Direct Plan - IDCW Option,37.94,2026-07-14
118617,INF754K01BW4,-,Edelweiss Large Cap Fund - Direct Plan-Growth option,96.13,2026-07-14
111938,INF754K01053,INF754K01061,Edelweiss Large Cap Fund - Plan B - IDCW Option,80.99,2026-07-14
111939,INF754K01095,INF754K01103,Edelweiss Large Cap Fund - Plan C - IDCW Option,66.97,2026-07-14
111940,INF754K01046,-,Edelweiss Large Cap Fund - Regular Plan - Growth Option,82.51,2026-07-14
111936,INF754K01012,INF754K01020,Edelweiss Large Cap Fund - Regular Plan - IDCW Option,26.0,2026-07-14
111935,INF754K01087,-,Edelweiss Large Cap Fund -Plan B - Growth option,83.02,2026-07-14
111937,INF754K01129,-,Edelweiss Large Cap Fund -Plan C - Growth option,81.93,2026-07-14
119620,INF209K01Q30,-,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,937.89,2026-07-14
119619,INF209K01Q22,-,Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW,100.14,2026-07-14
101591,INF209K01355,INF209K01CN6,Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,58.24,2026-07-14
101592,INF209K01363,-,Aditya Birla Sun Life MIDCAP Fund-Growth,835.05,2026-07-14
140228,INF843K01AO4,-,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,127.346,2026-07-14
140227,INF843K01AP1,INF843K01AQ9,Edelweiss Mid Cap Fund - Direct Plan - IDCW Option,92.858,2026-07-14
140225,INF843K01013,-,Edelweiss Mid Cap Fund - Regular Plan - Growth Option,107.744,2026-07-14
140226,INF843K01021,INF843K01039,Edelweiss Mid Cap Fund - Regular Plan - IDCW Option,62.117,2026-07-14
148921,INF209KB1Y49,-,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,22.07,2026-07-14
148920,INF209KB1Y56,-,Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout,19.52,2026-07-14
148918,INF209KB1Y23,-,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,20.58,2026-07-14
148919,INF209KB1Y31,-,Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout,18.21,2026-07-14
152094,INF754K01SD8,-,Edelweiss Multi Cap Fund - Direct Plan - Growth,16.2537,2026-07-14
152093,INF754K01SA4,INF754K01SB2,Edelweiss Multi Cap Fund - Direct Plan - IDCW,15.7511,2026-07-14
152095,INF754K01RW0,-,Edelweiss Multi Cap Fund - Regular Plan - Growth,15.5823,2026-07-14
152096,INF754K01RX8,INF754K01RY6,Edelweiss Multi Cap Fund - Regular Plan - IDCW,15.08,2026-07-14
125598,INF209K013W3,INF209K015W8,Aditya Birla Sun Life Banking and Financial Services Fund - DIRECT - IDCW,31.8,2026-07-14
125597,INF209K014W1,-,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,72.13,2026-07-14
125596,INF209K010W9,INF209K012W5,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,23.3,2026-07-14
125595,INF209K011W7,-,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,63.72,2026-07-14
153124,INF209KC1373,-,Aditya Birla Sun Life Conglomerate Fund-Direct Growth,11.16,2026-07-14
153125,INF209KC1381,-,Aditya Birla Sun Life Conglomerate Fund-Direct IDCW Payout,11.16,2026-07-14
153127,INF209KC1399,-,Aditya Birla Sun Life Conglomerate Fund-Regular Growth,10.91,2026-07-14
153126,INF209KC1407,-,Aditya Birla Sun Life Conglomerate Fund-Regular IDCW Payout,10.92,2026-07-14
119591,INF209K01WC7,-,Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,236.4,2026-07-14
119590,INF209K01Q63,-,Aditya Birla Sun Life Consumption Fund -DIRECT - IDCW,45.49,2026-07-14
103110,INF209K01439,INF209K01CR7,Aditya Birla Sun Life Consumption Fund -Regular - IDCW,35.5,2026-07-14
103111,INF209K01447,-,Aditya Birla Sun Life Consumption Fund-Growth Option,204.62,2026-07-14
148640,INF209KB1U84,INF209KB1U92,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct - Payout of IDCW,15.58,2026-07-14
148637,INF209KB1U76,-,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth,19.18,2026-07-14
148636,INF209KB1U50,INF209KB1U68,Aditya Birla Sun Life ESG Integration Strategy Fund-Regular - Payout of IDCW,14.42,2026-07-14
148635,INF209KB1U43,-,Aditya Birla Sun Life ESG Integration Strategy Fund-Regular Plan-Growth,17.76,2026-07-14
119515,INF209K01WG8,-,Aditya Birla Sun Life Infrastructure Fund -  Direct - IDCW,49.28,2026-07-14
103475,INF209K01470,INF209K01CT3,Aditya Birla Sun Life Infrastructure Fund -  Regular - IDCW,29.02,2026-07-14
119514,INF209K01WH6,-,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,117.58,2026-07-14
103476,INF209K01504,-,Aditya Birla Sun Life Infrastructure Fund-Growth,105.68,2026-07-14
133514,INF209KA1YL8,INF209KA1YM6,Aditya Birla Sun Life Manufacturing Equity Fund - Direct - IDCW,24.5,2026-07-14
133516,INF209KA1YK0,-,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Growth,41.41,2026-07-14
133515,INF209KA1YI4,INF209KA1YJ2,Aditya Birla Sun Life Manufacturing Equity Fund - Regular - IDCW,22.2,2026-07-14
133513,INF209KA1YH6,-,Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan - Growth,37.3,2026-07-14
147410,INF209KB1O33,INF209KB1O41,Aditya Birla Sun Life Pharma and Healthcare Fund-Direct - Payout of IDCW,25.85,2026-07-14
147409,INF209KB1O25,-,Aditya Birla Sun Life Pharma and Healthcare Fund-Direct-Growth,39.75,2026-07-14
147408,INF209KB1O09,INF209KB1O17,Aditya Birla Sun Life Pharma and Healthcare Fund-Regular - Payout of IDCW,23.6,2026-07-14
147407,INF209KB1N91,-,Aditya Birla Sun Life Pharma and Healthcare Fund-Regular-Growth,35.73,2026-07-14
147845,INF209KB1O90,-,Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW,30.09,2026-07-14
147844,INF209KB1O82,-,Aditya Birla Sun Life PSU Equity Fund-Direct Plan-Growth,39.62,2026-07-14
147847,INF209KB1O74,-,Aditya Birla Sun Life PSU Equity Fund-Regular - Payout of IDCW,25.7,2026-07-14
147846,INF209KB1O66,-,Aditya Birla Sun Life PSU Equity Fund-Regular Plan-Growth,35.83,2026-07-14
152684,INF209KC1118,-,Aditya Birla Sun Life Quant Fund - Direct Growth,10.37,2026-07-14
152685,INF209KC1126,-,Aditya Birla Sun Life Quant Fund - Direct IDCW Payout,10.36,2026-07-14
152686,INF209KC1092,-,Aditya Birla Sun Life Quant Fund - Regular Growth,10.07,2026-07-14
152687,INF209KC1100,-,Aditya Birla Sun Life Quant Fund - Regular IDCW Payout,10.06,2026-07-14
148540,INF209KB1T87,INF209KB1T95,Aditya Birla Sun Life Special Opportunities Fund-Direct - IDCW,23.64,2026-07-14
148539,INF209KB1T79,-,Aditya Birla Sun Life Special Opportunities Fund-Direct-Growth,30.43,2026-07-14
148538,INF209KB1T53,INF209KB1T61,Aditya Birla Sun Life Special Opportunities Fund-Regular - IDCW,21.84,2026-07-14
148537,INF209KB1T46,-,Aditya Birla Sun Life Special Opportunities Fund-Regular Plan-Growth,28.12,2026-07-14
152158,INF209KB15X7,-,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth,16.35,2026-07-14
152159,INF209KB16X5,-,Aditya Birla Sun Life Transportation and Logistics Fund-Direct IDCW,16.35,2026-07-14
152161,INF209KB17X3,-,Aditya Birla Sun Life Transportation and Logistics Fund-Regular Growth,15.74,2026-07-14
152160,INF209KB18X1,-,Aditya Birla Sun Life Transportation and Logistics Fund-Regular IDCW,15.75,2026-07-14
152710,INF754K01TA2,-,Edelweiss Business Cycle Fund - Direct Plan - Growth,9.0295,2026-07-14
152723,INF754K01TB0,INF754K01TC8,Edelweiss Business Cycle Fund - Direct Plan - IDCW Option,9.0295,2026-07-14
152724,INF754K01SW8,-,Edelweiss Business Cycle Fund - Regular Plan - Growth,8.7504,2026-07-14
152722,INF754K01SX6,INF754K01SY4,Edelweiss Business Cycle Fund - Regular Plan - IDCW Option,8.7504,2026-07-14
153214,INF754K01TY2,-,Edelweiss Consumption Fund - Direct - Growth,11.1944,2026-07-14
153254,INF754K01TZ9,INF754K01UA0,Edelweiss Consumption Fund - Direct - IDCW - Payout,11.1944,2026-07-14
153255,INF754K01UC6,-,Edelweiss Consumption Fund - Regular - Growth,10.9356,2026-07-14
153215,INF754K01UD4,INF754K01UE2,Edelweiss Consumption Fund - Regular - IDCW - Payout,10.9356,2026-07-14
154108,INF754K01WH1,-,Edelweiss Financial Services Fund - Direct Plan - Growth Option,9.6437,2026-07-14
154105,INF754K01WI9,INF754K01WJ7,Edelweiss Financial Services Fund - Direct Plan - IDCW Option,9.6437,2026-07-14
154107,INF754K01WL3,-,Edelweiss Financial Services Fund - Regular Plan - Growth Option,9.5824,2026-07-14
154106,INF754K01WM1,INF754K01WN9,Edelweiss Financial Services Fund - Regular Plan - IDCW Option,9.5824,2026-07-14
142386,INF754K01MM2,INF754K01MN0,Edelweiss Recently Listed IPO Fund - DIRECT PLAN - IDCW Option,33.7786,2026-07-14
142388,INF754K01ML4,-,Edelweiss Recently Listed IPO Fund Direct Plan Growth,33.7786,2026-07-14
142384,INF754K01MI0,INF754K01MJ8,Edelweiss Recently Listed IPO Fund REGULAR PLAN - IDCW Option,31.1544,2026-07-14
142383,INF754K01MH2,-,Edelweiss Recently Listed IPO Fund Regular Plan Growth,31.1561,2026-07-14
105804,INF209K01EN2,-,Aditya Birla Sun Life Small Cap Fund - GROWTH,95.551,2026-07-14
119556,INF209K01WN4,-,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,109.5703,2026-07-14
119557,INF209K01WM6,-,Aditya Birla Sun Life Small Cap Fund -Direct - IDCW,76.9096,2026-07-14
105805,INF209K01EO0,INF209K01EP7,Aditya Birla Sun Life Small Cap Fund -Regular - IDCW,39.5447,2026-07-14
146196,INF754K01JN6,-,Edelweiss Small Cap Fund - Direct Plan - Growth,52.651,2026-07-14
146197,INF754K01JO4,INF754K01JP1,Edelweiss Small Cap Fund - Direct Plan - IDCW Option,46.061,2026-07-14
146193,INF754K01JJ4,-,Edelweiss Small Cap Fund - Regular Plan - Growth,46.99,2026-07-14
146194,INF754K01JK2,INF754K01JL0,Edelweiss Small Cap Fund - Regular Plan - IDCW Option,40.833,2026-07-14
119658,INF209K01WP9,INF209K01WR5,Aditya Birla Sun Life Value Fund - Direct - IDCW,82.2332,2026-07-14
119659,INF209K01WQ7,-,Aditya Birla Sun Life Value Fund - Growth - Direct Plan,154.0883,2026-07-14
108167,INF209K01LF3,-,Aditya Birla Sun Life Value Fund - Growth Option,135.7392,2026-07-14
